LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
172,Radom,27,1,26,0,0
173,radomski,137,9,125,2,1
174,Siedlce,7,0,7,0,0
175,siedlecki,91,3,82,2,4
176,sierpecki,20,1,18,1,0
177,sochaczewski,85,2,76,2,5
178,sokołowski,21,0,21,0,0
179,szydłowiecki,175,1,166,8,0
180,Warszawa,83,0,76,0,7
181,warszawski zachodni,24,1,21,0,2
182,węgrowski,119,4,111,2,2
183,wołomiński,389,4,381,1,3
184,wyszkowski,71,0,67,2,2
185,zwoleński,7,0,6,1,0
186,żuromiński,14,0,13,1,0
187,żyrardowski,35,1,33,1,0
188,OPOLSKIE,157,10,127,10,10
189,brzeski,8,1,7,0,0
190,głubczycki,0,0,0,0,0
191,kędzierzyńsko-kozielski,45,1,41,1,2
192,kluczborski,17,1,15,1,0
193,krapkowicki,7,0,6,1,0
194,namysłowski,12,0,8,3,1
195,nyski,12,4,6,0,2
196,oleski,10,0,9,1,0
197,Opole,5,0,3,1,1
198,opolski,30,3,25,1,1
199,prudnicki,1,0,0,1,0
200,strzelecki,10,0,7,0,3
201,PODKARPACKIE,361,7,323,26,5
202,bieszczadzki,2,0,2,0,0
203,brzozowski,2,0,0,2,0
204,dębicki,16,0,16,0,0
205,jarosławski,5,0,3,2,0
206,jasielski,1,0,1,0,0
207,kolbuszowski,27,2,24,1,0
208,Krosno,0,0,0,0,0
209,krośnieński,3,1,2,0,0
210,leski,4,0,3,0,1
211,leżajski,32,0,29,3,0
212,lubaczowski,12,0,12,0,0
213,łańcucki,4,0,3,1,0
214,mielecki,19,0,17,1,1
215,niżański,62,2,57,3,0
216,przemyski,6,0,5,1,0
217,Przemyśl,0,0,0,0,0
218,przeworski,4,0,4,0,0
219,ropczycko-sędziszowski,5,0,5,0,0
220,rzeszowski,24,0,21,3,0
221,Rzeszów,1,0,1,0,0
222,sanocki,2,0,2,0,0
223,stalowowolski,44,2,38,3,1
224,strzyżowski,5,0,5,0,0
225,Tarnobrzeg,8,0,8,0,0
226,tarnobrzeski,73,0,65,6,2
227,PODLASKIE,328,3,298,9,18
228,augustowski,50,0,40,5,5
229,białostocki,64,0,64,0,0
230,Białystok,14,0,14,0,0
231,bielski,12,0,11,0,1
232,grajewski,6,0,4,1,1
233,hajnowski,39,1,35,1,2
234,kolneński,19,1,15,0,3
235,Łomża,0,0,0,0,0
236,łomżyński,20,0,20,0,0
237,moniecki,12,0,11,0,1
238,sejneński,5,0,4,0,1
239,siemiatycki,27,1,23,2,1
240,sokólski,12,0,12,0,0
241,suwalski,7,0,6,0,1
242,Suwałki,2,0,2,0,0
243,wysokomazowiecki,13,0,11,0,2
244,zambrowski,26,0,26,0,0
245,POMORSKIE,410,5,367,12,26
246,bytowski,30,1,21,4,4
247,chojnicki,13,0,13,0,0
248,człuchowski,13,0,13,0,0
249,Gdańsk,64,1,58,0,5
250,gdański,4,0,3,0,1
251,Gdynia,43,0,35,0,8
252,kartuski,27,0,25,1,1
253,kościerski,37,0,34,2,1
254,kwidzyński,19,1,16,1,1
255,lęborski,14,0,12,2,0
256,malborski,0,0,0,0,0
257,nowodworski,9,0,9,0,0
258,pucki,17,0,17,0,0
259,Słupsk,7,0,6,0,1
260,słupski,44,2,41,0,1
261,Sopot,3,0,3,0,0
262,starogardzki,22,0,20,0,2
263,sztumski,5,0,4,0,1
264,tczewski,7,0,7,0,0
265,wejherowski,32,0,30,2,0
266,ŚLĄSKIE,540,38,449,33,20
267,będziński,34,1,29,2,2
268,bielski,2,1,1,0,0
269,Bielsko-Biała,3,0,2,0,1
270,bieruńsko-lędziński,3,1,2,0,0
271,Bytom,3,0,3,0,0
272,Chorzów,0,0,0,0,0
273,cieszyński,16,2,13,0,1
274,Częstochowa,8,1,3,1,3
275,częstochowski,86,7,67,9,3
276,Dąbrowa Górnicza,11,0,10,1,0
277,Gliwice,5,1,3,0,1
278,gliwicki,13,3,9,0,1
279,Jastrzębie-Zdrój,6,0,5,1,0
280,Jaworzno,11,1,10,0,0
281,Katowice,6,0,6,0,0
282,kłobucki,111,1,105,3,2
283,lubliniecki,15,0,13,2,0
284,mikołowski,18,2,10,4,2
285,Mysłowice,2,1,1,0,0
286,myszkowski,51,3,41,6,1
287,Piekary Śląskie,0,0,0,0,0
288,pszczyński,3,0,3,0,0
289,raciborski,5,1,4,0,0
290,Ruda Śląska,16,7,9,0,0
291,rybnicki,6,0,6,0,0
292,Rybnik,7,0,7,0,0
293,Siemianowice Śląskie,1,0,1,0,0
294,Sosnowiec,7,0,7,0,0
295,Świętochłowice,0,0,0,0,0
296,tarnogórski,33,0,29,3,1
297,Tychy,2,0,2,0,0
298,wodzisławski,4,0,3,0,1
299,Zabrze,1,0,1,0,0
300,zawierciański,42,5,36,1,0
301,Żory,1,0,0,0,1
302,żywiecki,8,0,8,0,0
303,ŚWIĘTOKRZYSKIE,611,9,579,16,7
304,buski,13,0,12,0,1
305,jędrzejowski,32,0,29,1,2
306,kazimierski,0,0,0,0,0
307,Kielce,2,0,2,0,0
308,kielecki,145,1,141,3,0
309,konecki,171,2,162,6,1
310,opatowski,9,0,8,0,1
311,ostrowiecki,19,0,19,0,0
312,pińczowski,23,0,22,0,1
313,sandomierski,11,0,11,0,0
314,skarżyski,75,1,74,0,0
315,starachowicki,29,1,24,4,0
316,staszowski,26,0,24,2,0
317,włoszczowski,56,4,51,0,1
318,WARMIŃSKO-MAZURSKIE,199,8,180,5,6
319,bartoszycki,4,2,2,0,0
320,braniewski,6,0,4,2,0
321,działdowski,16,0,14,1,1
322,Elbląg,2,0,2,0,0
323,elbląski,3,0,3,0,0
324,ełcki,18,1,17,0,0
325,giżycki,7,2,3,0,2
326,gołdapski,3,0,3,0,0
327,iławski,9,0,8,0,1
328,kętrzyński,2,0,1,0,1
329,lidzbarski,2,0,2,0,0
330,mrągowski,4,2,2,0,0
331,nidzicki,5,0,5,0,0
332,nowomiejski,5,0,5,0,0
333,olecki,2,0,2,0,0
334,Olsztyn,8,1,6,0,1
335,olsztyński,22,0,20,2,0
336,ostródzki,14,0,14,0,0
337,piski,37,0,37,0,0
338,szczycieński,27,0,27,0,0
339,węgorzewski,3,0,3,0,0
340,WIELKOPOLSKIE,741,23,684,17,17
341,chodzieski,4,0,4,0,0
342,czarnkowsko-trzcianecki,55,1,52,2,0
343,gnieźnieński,16,1,15,0,0
344,gostyński,3,0,3,0,0
345,grodziski,15,0,15,0,0
346,jarociński,13,0,13,0,0
347,kaliski,40,0,39,1,0
348,Kalisz,1,0,1,0,0
349,kępiński,19,0,19,0,0
350,kolski,27,0,26,1,0
351,Konin,7,0,6,0,1
352,koniński,106,1,98,4,3
353,kościański,4,0,4,0,0
354,krotoszyński,8,0,8,0,0
355,leszczyński,11,1,10,0,0
356,Leszno,1,0,1,0,0
357,międzychodzki,15,0,15,0,0
358,nowotomyski,30,0,30,0,0
359,obornicki,40,4,34,0,2
360,ostrowski,19,1,15,1,2
361,ostrzeszowski,18,0,18,0,0
362,pilski,43,0,40,2,1
363,pleszewski,3,0,3,0,0
364,Poznań,12,0,9,0,3
365,poznański,66,2,61,1,2
366,rawicki,3,0,3,0,0
367,słupecki,5,0,5,0,0
368,szamotulski,36,11,24,1,0
369,średzki,10,0,9,0,1
370,śremski,21,0,20,0,1
371,turecki,41,0,38,2,1
372,wągrowiecki,4,0,3,1,0
373,wolsztyński,14,0,14,0,0
374,wrzesiński,14,0,13,1,0
375,złotowski,17,1,16,0,0
376,ZACHODNIOPOMORSKIE,446,27,379,16,24
377,białogardzki,16,0,11,4,1
378,choszczeński,19,1,17,1,0
379,drawski,37,3,33,1,0
380,goleniowski,55,2,47,3,3
381,gryficki,10,0,8,0,2
382,gryfiński,27,2,25,0,0
383,kamieński,25,4,18,1,2
384,kołobrzeski,11,1,7,0,3
385,Koszalin,7,0,7,0,0
386,koszaliński,31,2,26,2,1
387,łobeski,15,1,12,2,0
388,myśliborski,22,0,20,0,2
389,policki,32,2,27,0,3
390,pyrzycki,0,0,0,0,0
391,sławieński,5,0,5,0,0
392,stargardzki,18,1,17,0,0
393,Szczecin,25,2,20,0,3
394,szczecinecki,22,0,20,0,2
395,świdwiński,16,0,14,2,0
396,Świnoujście,39,5,33,0,1
397,wałecki,14,1,12,0,1
