LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
1,Polska,8801,384,7859,300,258
2,DOLNOŚLĄSKIE,714,82,549,32,51
3,bolesławiecki,37,3,29,3,2
4,dzierżoniowski,13,4,8,0,1
5,głogowski,13,1,10,2,0
6,górowski,5,0,5,0,0
7,jaworski,6,0,4,1,1
8,Jelenia Góra,37,7,26,2,2
9,jeleniogórski,41,2,35,1,3
10,kamiennogórski,25,3,16,0,6
11,kłodzki,66,4,55,0,7
12,Legnica,1,0,1,0,0
13,legnicki,28,1,19,7,1
14,lubański,24,4,18,0,2
15,lubiński,34,2,27,4,1
16,lwówecki,13,2,11,0,0
17,milicki,22,3,17,1,1
18,oleśnicki,20,1,19,0,0
19,oławski,15,0,13,1,1
20,polkowicki,52,2,40,7,3
21,strzeliński,8,2,4,0,2
22,średzki,13,1,11,0,1
23,świdnicki,14,0,12,0,2
24,trzebnicki,17,1,14,1,1
25,Wałbrzych,35,6,26,1,2
26,wałbrzyski,58,11,45,0,2
27,wołowski,11,1,8,1,1
28,Wrocław,19,6,8,0,5
29,wrocławski,11,2,8,0,1
30,ząbkowicki,14,0,13,0,1
31,zgorzelecki,56,12,42,0,2
32,złotoryjski,6,1,5,0,0
33,KUJAWSKO-POMORSKIE,496,10,469,13,4
34,aleksandrowski,9,0,9,0,0
35,brodnicki,6,0,5,1,0
36,bydgoski,78,1,76,1,0
37,Bydgoszcz,70,2,68,0,0
38,chełmiński,3,0,3,0,0
39,golubsko-dobrzyński,11,0,10,0,1
40,Grudziądz,7,0,7,0,0
41,grudziądzki,8,1,7,0,0
42,inowrocławski,8,0,7,1,0
43,lipnowski,20,0,20,0,0
44,mogileński,1,0,1,0,0
45,nakielski,34,0,32,2,0
46,radziejowski,1,0,1,0,0
47,rypiński,4,0,4,0,0
48,sępoleński,5,1,4,0,0
49,świecki,41,0,37,3,1
50,Toruń,38,1,36,1,0
51,toruński,42,1,40,0,1
52,tucholski,13,0,12,1,0
53,wąbrzeski,3,0,2,1,0
54,Włocławek,41,2,39,0,0
55,włocławski,40,1,36,2,1
56,żniński,13,0,13,0,0
57,LUBELSKIE,424,15,385,11,13
58,bialski,44,2,40,1,1
59,Biała Podlaska,5,0,4,0,1
60,biłgorajski,37,1,36,0,0
61,Chełm,1,0,1,0,0
62,chełmski,6,0,6,0,0
63,hrubieszowski,1,0,1,0,0
64,janowski,20,2,17,1,0
65,krasnostawski,4,1,3,0,0
66,kraśnicki,6,0,3,2,1
67,lubartowski,31,1,30,0,0
68,lubelski,4,0,4,0,0
69,Lublin,2,0,1,0,1
70,łęczyński,6,0,5,1,0
71,łukowski,28,0,26,2,0
72,opolski,57,1,54,1,1
73,parczewski,15,1,12,1,1
74,puławski,51,2,49,0,0
75,radzyński,14,1,13,0,0
76,rycki,39,2,34,0,3
77,świdnicki,11,0,10,1,0
78,tomaszowski,9,0,9,0,0
79,włodawski,28,1,22,1,4
80,zamojski,5,0,5,0,0
81,Zamość,0,0,0,0,0
82,LUBUSKIE,587,11,538,24,14
83,gorzowski,38,2,33,3,0
84,Gorzów Wielkopolski,3,0,3,0,0
85,krośnieński,84,3,75,5,1
86,międzyrzecki,48,0,47,0,1
87,nowosolski,29,1,25,1,2
88,słubicki,36,0,34,2,0
89,strzelecko-drezdenecki,56,0,56,0,0
90,sulęciński,24,1,23,0,0
91,świebodziński,16,1,13,1,1
92,wschowski,6,0,4,1,1
93,Zielona Góra,47,1,42,1,3
94,zielonogórski,71,0,66,3,2
95,żagański,63,1,55,5,2
96,żarski,66,1,62,2,1
97,ŁÓDZKIE,558,7,531,13,7
98,bełchatowski,26,1,24,1,0
99,brzeziński,3,0,3,0,0
100,kutnowski,1,0,1,0,0
101,łaski,13,0,13,0,0
102,łęczycki,4,0,3,0,1
103,łowicki,16,0,16,0,0
104,łódzki wschodni,28,0,28,0,0
105,Łódź,27,0,24,0,3
106,opoczyński,46,0,46,0,0
107,pabianicki,7,0,7,0,0
108,pajęczański,30,1,27,1,1
109,piotrkowski,22,1,20,1,0
110,Piotrków Trybunalski,1,0,1,0,0
111,poddębicki,8,0,7,1,0
112,radomszczański,64,3,61,0,0
113,rawski,2,0,2,0,0
114,sieradzki,61,0,59,2,0
115,Skierniewice,3,0,2,1,0
116,skierniewicki,12,0,11,1,0
117,tomaszowski,43,1,40,1,1
118,wieluński,39,0,36,2,1
119,wieruszowski,57,0,55,2,0
120,zduńskowolski,7,0,7,0,0
121,zgierski,38,0,38,0,0
122,MAŁOPOLSKIE,248,11,212,10,15
123,bocheński,3,1,2,0,0
124,brzeski,7,0,7,0,0
125,chrzanowski,22,0,21,1,0
126,dąbrowski,10,0,10,0,0
127,gorlicki,0,0,0,0,0
128,krakowski,16,0,13,1,2
129,Kraków,2,0,1,0,1
130,limanowski,10,1,7,0,2
131,miechowski,7,0,7,0,0
132,myślenicki,11,0,11,0,0
133,nowosądecki,21,0,19,1,1
134,nowotarski,22,4,12,2,4
135,Nowy Sącz,2,0,1,1,0
136,olkuski,79,0,74,3,2
137,oświęcimski,11,1,8,1,1
138,proszowicki,0,0,0,0,0
139,suski,3,0,2,0,1
140,tarnowski,18,3,14,0,1
141,Tarnów,2,0,2,0,0
142,tatrzański,0,0,0,0,0
143,wadowicki,1,0,1,0,0
144,wielicki,1,1,0,0,0
145,MAZOWIECKIE,2149,84,1995,38,32
146,białobrzeski,36,0,34,2,0
147,ciechanowski,12,0,11,0,1
148,garwoliński,39,2,36,1,0
149,gostyniński,21,0,20,1,0
150,grodziski,16,0,16,0,0
151,grójecki,52,2,50,0,0
152,kozienicki,127,3,118,3,3
153,legionowski,77,5,71,0,1
154,lipski,13,0,13,0,0
155,łosicki,9,0,9,0,0
156,makowski,19,0,15,0,4
157,miński,87,0,86,1,0
158,mławski,8,0,8,0,0
159,nowodworski,21,1,19,0,1
160,ostrołęcki,53,0,51,2,0
161,Ostrołęka,2,0,1,0,1
162,ostrowski,57,0,56,1,0
163,otwocki,126,1,124,0,1
164,piaseczyński,165,34,130,0,1
165,Płock,6,0,6,0,0
166,płocki,56,5,47,2,2
167,płoński,18,0,18,0,0
168,pruszkowski,7,0,7,0,0
169,przasnyski,7,0,7,0,0
170,przysuski,104,0,97,3,4
171,pułtuski,9,0,9,0,0
172,Radom,14,1,12,0,1
173,radomski,105,2,100,2,1
174,Siedlce,13,0,13,0,0
175,siedlecki,105,2,100,1,2
176,sierpecki,12,0,11,0,1
177,sochaczewski,86,7,71,6,2
178,sokołowski,15,1,13,1,0
179,szydłowiecki,79,0,76,3,0
180,Warszawa,102,10,89,0,3
181,warszawski zachodni,23,1,22,0,0
182,węgrowski,110,2,101,6,1
183,wołomiński,228,1,227,0,0
184,wyszkowski,69,4,62,1,2
185,zwoleński,8,0,7,1,0
186,żuromiński,4,0,4,0,0
187,żyrardowski,29,0,28,1,0
188,OPOLSKIE,170,23,130,10,7
189,brzeski,21,5,13,2,1
190,głubczycki,8,1,5,1,1
191,kędzierzyńsko-kozielski,25,4,20,0,1
192,kluczborski,18,3,14,1,0
193,krapkowicki,2,0,2,0,0
194,namysłowski,6,0,5,0,1
195,nyski,20,3,16,1,0
196,oleski,14,0,13,1,0
197,Opole,2,0,2,0,0
198,opolski,41,4,33,1,3
199,prudnicki,1,1,0,0,0
200,strzelecki,12,2,7,3,0
201,PODKARPACKIE,313,10,265,25,13
202,bieszczadzki,1,0,1,0,0
203,brzozowski,1,0,1,0,0
204,dębicki,32,0,29,3,0
205,jarosławski,1,0,1,0,0
206,jasielski,2,0,1,0,1
207,kolbuszowski,28,3,24,0,1
208,Krosno,0,0,0,0,0
209,krośnieński,1,0,1,0,0
210,leski,4,0,4,0,0
211,leżajski,17,1,14,2,0
212,lubaczowski,16,1,13,1,1
213,łańcucki,2,0,2,0,0
214,mielecki,22,1,15,6,0
215,niżański,41,0,39,1,1
216,przemyski,1,0,1,0,0
217,Przemyśl,0,0,0,0,0
218,przeworski,0,0,0,0,0
219,ropczycko-sędziszowski,2,1,1,0,0
220,rzeszowski,5,0,4,0,1
221,Rzeszów,2,0,1,0,1
222,sanocki,1,0,1,0,0
223,stalowowolski,50,1,45,2,2
224,strzyżowski,2,0,2,0,0
225,Tarnobrzeg,7,0,5,2,0
226,tarnobrzeski,75,2,60,8,5
227,PODLASKIE,311,5,289,7,10
228,augustowski,23,0,18,0,5
229,białostocki,80,1,78,1,0
230,Białystok,18,0,18,0,0
231,bielski,17,0,16,1,0
232,grajewski,11,0,10,1,0
233,hajnowski,35,0,33,0,2
234,kolneński,12,0,12,0,0
235,Łomża,1,0,1,0,0
236,łomżyński,15,0,15,0,0
237,moniecki,8,0,8,0,0
238,sejneński,3,0,3,0,0
239,siemiatycki,27,1,23,2,1
240,sokólski,12,0,10,2,0
241,suwalski,4,0,3,0,1
242,Suwałki,3,0,2,0,1
243,wysokomazowiecki,20,1,19,0,0
244,zambrowski,22,2,20,0,0
245,POMORSKIE,420,19,361,14,26
246,bytowski,31,4,24,1,2
247,chojnicki,37,1,30,0,6
248,człuchowski,15,0,13,1,1
249,Gdańsk,38,3,31,0,4
250,gdański,10,0,6,2,2
251,Gdynia,52,0,48,0,4
252,kartuski,32,6,26,0,0
253,kościerski,52,0,49,2,1
254,kwidzyński,13,1,9,0,3
255,lęborski,9,0,8,0,1
256,malborski,0,0,0,0,0
257,nowodworski,7,0,7,0,0
258,pucki,9,0,9,0,0
259,Słupsk,4,0,3,0,1
260,słupski,23,1,20,1,1
261,Sopot,2,0,2,0,0
262,starogardzki,26,2,22,2,0
263,sztumski,14,0,12,2,0
264,tczewski,3,0,3,0,0
265,wejherowski,43,1,39,3,0
266,ŚLĄSKIE,593,46,496,34,17
267,będziński,24,3,18,2,1
268,bielski,3,2,1,0,0
269,Bielsko-Biała,0,0,0,0,0
270,bieruńsko-lędziński,5,0,4,0,1
271,Bytom,3,0,3,0,0
272,Chorzów,0,0,0,0,0
273,cieszyński,20,0,17,1,2
274,Częstochowa,16,0,15,1,0
275,częstochowski,122,7,103,9,3
276,Dąbrowa Górnicza,7,0,7,0,0
277,Gliwice,0,0,0,0,0
278,gliwicki,2,0,2,0,0
279,Jastrzębie-Zdrój,2,0,2,0,0
280,Jaworzno,20,2,17,1,0
281,Katowice,11,4,6,1,0
282,kłobucki,97,0,97,0,0
283,lubliniecki,9,1,6,0,2
284,mikołowski,16,1,11,4,0
285,Mysłowice,1,0,1,0,0
286,myszkowski,77,19,54,4,0
287,Piekary Śląskie,0,0,0,0,0
288,pszczyński,6,1,5,0,0
289,raciborski,18,1,14,0,3
290,Ruda Śląska,3,1,1,0,1
291,rybnicki,3,0,1,0,2
292,Rybnik,7,0,6,1,0
293,Siemianowice Śląskie,0,0,0,0,0
294,Sosnowiec,12,1,11,0,0
295,Świętochłowice,1,0,1,0,0
296,tarnogórski,40,0,38,1,1
297,Tychy,7,0,7,0,0
298,wodzisławski,3,0,3,0,0
299,Zabrze,1,0,0,1,0
300,zawierciański,41,3,31,6,1
301,Żory,6,0,6,0,0
302,żywiecki,10,0,8,2,0
303,ŚWIĘTOKRZYSKIE,595,11,548,21,15
304,buski,33,1,28,0,4
305,jędrzejowski,35,0,32,1,2
306,kazimierski,0,0,0,0,0
307,Kielce,6,0,6,0,0
308,kielecki,90,1,85,4,0
309,konecki,209,4,196,9,0
310,opatowski,6,0,6,0,0
311,ostrowiecki,21,0,19,1,1
312,pińczowski,24,0,22,0,2
313,sandomierski,29,0,27,0,2
314,skarżyski,57,3,51,2,1
315,starachowicki,23,2,17,1,3
316,staszowski,27,0,26,1,0
317,włoszczowski,35,0,33,2,0
318,WARMIŃSKO-MAZURSKIE,138,4,118,8,8
319,bartoszycki,1,0,0,1,0
320,braniewski,0,0,0,0,0
321,działdowski,12,0,11,0,1
322,Elbląg,0,0,0,0,0
323,elbląski,1,0,1,0,0
324,ełcki,6,0,5,0,1
325,giżycki,4,0,3,0,1
326,gołdapski,3,0,2,1,0
327,iławski,9,0,7,1,1
328,kętrzyński,0,0,0,0,0
329,lidzbarski,0,0,0,0,0
330,mrągowski,3,0,2,0,1
331,nidzicki,1,0,1,0,0
332,nowomiejski,7,0,7,0,0
333,olecki,2,1,1,0,0
334,Olsztyn,13,1,11,0,1
335,olsztyński,20,1,19,0,0
336,ostródzki,17,1,14,1,1
337,piski,18,0,16,2,0
338,szczycieński,18,0,16,2,0
339,węgorzewski,3,0,2,0,1
340,WIELKOPOLSKIE,659,9,611,26,13
341,chodzieski,12,0,11,0,1
342,czarnkowsko-trzcianecki,73,0,68,5,0
343,gnieźnieński,8,0,7,0,1
344,gostyński,2,0,2,0,0
345,grodziski,8,0,7,0,1
346,jarociński,14,0,12,0,2
347,kaliski,64,0,62,2,0
348,Kalisz,0,0,0,0,0
349,kępiński,21,0,18,2,1
350,kolski,17,0,16,0,1
351,Konin,5,0,4,1,0
352,koniński,57,2,49,2,4
353,kościański,7,0,7,0,0
354,krotoszyński,2,0,2,0,0
355,leszczyński,5,0,5,0,0
356,Leszno,4,0,4,0,0
357,międzychodzki,13,0,13,0,0
358,nowotomyski,41,1,38,2,0
359,obornicki,35,1,32,2,0
360,ostrowski,19,0,18,1,0
361,ostrzeszowski,16,0,16,0,0
362,pilski,30,0,28,2,0
363,pleszewski,5,0,5,0,0
364,Poznań,16,0,16,0,0
365,poznański,51,2,47,1,1
366,rawicki,3,0,3,0,0
367,słupecki,13,0,13,0,0
368,szamotulski,22,1,20,1,0
369,średzki,16,1,14,1,0
370,śremski,11,1,9,1,0
371,turecki,23,0,20,3,0
372,wągrowiecki,11,0,11,0,0
373,wolsztyński,18,0,17,0,1
374,wrzesiński,5,0,5,0,0
375,złotowski,12,0,12,0,0
376,ZACHODNIOPOMORSKIE,426,37,362,14,13
377,białogardzki,5,0,5,0,0
378,choszczeński,12,1,9,1,1
379,drawski,27,0,27,0,0
380,goleniowski,65,1,62,2,0
381,gryficki,18,2,14,1,1
382,gryfiński,53,11,38,2,2
383,kamieński,17,3,12,1,1
384,kołobrzeski,10,1,7,1,1
385,Koszalin,10,2,8,0,0
386,koszaliński,21,0,19,1,1
387,łobeski,9,1,8,0,0
388,myśliborski,32,0,30,2,0
389,policki,32,1,28,0,3
390,pyrzycki,1,0,0,0,1
391,sławieński,4,1,3,0,0
392,stargardzki,23,3,18,1,1
393,Szczecin,21,3,17,0,1
394,szczecinecki,5,1,2,2,0
395,świdwiński,10,0,10,0,0
396,Świnoujście,39,2,37,0,0
397,wałecki,12,4,8,0,0
