LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
1,Polska,3082,103,2787,49,143
2,DOLNOŚLĄSKIE,161,14,129,1,17
3,bolesławiecki,11,0,11,0,0
4,dzierżoniowski,9,2,6,0,1
5,głogowski,7,0,7,0,0
6,górowski,3,0,2,0,1
7,jaworski,1,0,1,0,0
8,Jelenia Góra,4,1,3,0,0
9,kamiennogórski,6,0,6,0,0
10,karkonoski,9,3,6,0,0
11,kłodzki,16,3,11,1,1
12,Legnica,0,0,0,0,0
13,legnicki,0,0,0,0,0
14,lubański,3,1,2,0,0
15,lubiński,8,1,3,0,4
16,lwówecki,1,0,1,0,0
17,milicki,10,0,10,0,0
18,oleśnicki,6,0,5,0,1
19,oławski,2,0,2,0,0
20,polkowicki,18,1,17,0,0
21,strzeliński,0,0,0,0,0
22,średzki,0,0,0,0,0
23,świdnicki,7,0,6,0,1
24,trzebnicki,2,0,2,0,0
25,Wałbrzych,3,1,1,0,1
26,wałbrzyski,4,0,3,0,1
27,wołowski,1,0,1,0,0
28,Wrocław,10,1,5,0,4
29,wrocławski,13,0,12,0,1
30,ząbkowicki,2,0,2,0,0
31,zgorzelecki,5,0,4,0,1
32,złotoryjski,0,0,0,0,0
33,KUJAWSKO-POMORSKIE,156,6,145,1,4
34,aleksandrowski,10,0,10,0,0
35,brodnicki,3,0,3,0,0
36,bydgoski,21,0,19,1,1
37,Bydgoszcz,25,0,23,0,2
38,chełmiński,1,0,1,0,0
39,golubsko-dobrzyński,5,0,5,0,0
40,Grudziądz,5,0,5,0,0
41,grudziądzki,1,0,1,0,0
42,inowrocławski,1,0,1,0,0
43,lipnowski,7,1,6,0,0
44,mogileński,0,0,0,0,0
45,nakielski,7,0,7,0,0
46,radziejowski,4,0,4,0,0
47,rypiński,1,0,1,0,0
48,sępoleński,0,0,0,0,0
49,świecki,5,0,5,0,0
50,Toruń,13,1,11,0,1
51,toruński,15,0,15,0,0
52,tucholski,5,0,5,0,0
53,wąbrzeski,0,0,0,0,0
54,Włocławek,8,0,8,0,0
