LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
100,kutnowski,1,0,1,0,0
101,łaski,20,1,19,0,0
102,łęczycki,0,0,0,0,0
103,łowicki,26,0,26,0,0
104,łódzki wschodni,29,0,29,0,0
105,Łódź,19,0,17,0,2
106,opoczyński,45,1,42,1,1
107,pabianicki,13,0,13,0,0
108,pajęczański,16,0,15,0,1
109,piotrkowski,37,0,37,0,0
110,Piotrków Trybunalski,0,0,0,0,0
111,poddębicki,6,0,5,1,0
112,radomszczański,54,0,51,3,0
113,rawski,1,0,1,0,0
114,sieradzki,47,0,42,5,0
115,Skierniewice,0,0,0,0,0
116,skierniewicki,13,0,12,1,0
117,tomaszowski,25,0,25,0,0
118,wieluński,12,0,12,0,0
119,wieruszowski,20,0,19,0,1
120,zduńskowolski,7,0,7,0,0
121,zgierski,28,1,26,0,1
122,MAŁOPOLSKIE,202,10,167,6,19
123,bocheński,3,0,2,0,1
124,brzeski,1,0,1,0,0
125,chrzanowski,36,3,30,0,3
126,dąbrowski,7,0,7,0,0
127,gorlicki,0,0,0,0,0
128,krakowski,5,0,5,0,0
129,Kraków,8,0,4,0,4
130,limanowski,3,0,3,0,0
131,miechowski,0,0,0,0,0
132,myślenicki,6,0,6,0,0
133,nowosądecki,26,0,20,2,4
134,nowotarski,27,3,20,1,3
135,Nowy Sącz,1,0,1,0,0
136,olkuski,47,1,41,3,2
137,oświęcimski,1,1,0,0,0
138,proszowicki,1,0,1,0,0
139,suski,4,0,4,0,0
140,tarnowski,14,2,11,0,1
141,Tarnów,0,0,0,0,0
142,tatrzański,1,0,1,0,0
143,wadowicki,5,0,5,0,0
144,wielicki,6,0,5,0,1
145,MAZOWIECKIE,1707,68,1583,26,30
146,białobrzeski,41,1,36,3,1
147,ciechanowski,2,0,2,0,0
148,garwoliński,45,0,45,0,0
149,gostyniński,13,0,13,0,0
150,grodziski,10,0,10,0,0
151,grójecki,51,1,50,0,0
152,kozienicki,68,3,62,1,2
153,legionowski,36,8,26,1,1
154,lipski,24,1,20,2,1
155,łosicki,8,0,8,0,0
156,makowski,17,1,16,0,0
157,miński,88,0,87,1,0
158,mławski,5,0,4,1,0
159,nowodworski,16,1,14,0,1
160,ostrołęcki,25,0,25,0,0
161,Ostrołęka,4,0,4,0,0
162,ostrowski,37,0,37,0,0
163,otwocki,89,1,83,0,5
164,piaseczyński,82,10,71,1,0
165,Płock,5,0,3,0,2
166,płocki,21,1,17,0,3
167,płoński,24,0,24,0,0
168,pruszkowski,9,0,9,0,0
169,przasnyski,5,0,5,0,0
170,przysuski,49,0,45,3,1
171,pułtuski,21,0,20,1,0
172,Radom,35,4,31,0,0
173,radomski,136,12,118,1,5
174,Siedlce,10,1,8,0,1
175,siedlecki,68,3,63,2,0
176,sierpecki,8,0,8,0,0
177,sochaczewski,37,1,36,0,0
178,sokołowski,29,0,28,0,1
179,szydłowiecki,79,2,72,5,0
180,Warszawa,57,1,51,0,5
181,warszawski zachodni,3,0,3,0,0
182,węgrowski,106,8,97,1,0
183,wołomiński,256,6,250,0,0
184,wyszkowski,41,1,39,0,1
185,zwoleński,24,1,20,3,0
186,żuromiński,5,0,5,0,0
187,żyrardowski,18,0,18,0,0
188,OPOLSKIE,84,2,68,6,8
189,brzeski,5,0,4,1,0
190,głubczycki,0,0,0,0,0
191,kędzierzyńsko-kozielski,12,0,12,0,0
192,kluczborski,5,0,4,1,0
193,krapkowicki,5,0,5,0,0
194,namysłowski,6,0,6,0,0
195,nyski,8,0,6,0,2
196,oleski,12,0,11,1,0
197,Opole,1,0,1,0,0
198,opolski,17,1,14,2,0
199,prudnicki,5,0,0,0,5
200,strzelecki,8,1,5,1,1
201,PODKARPACKIE,349,15,301,28,5
202,bieszczadzki,2,0,2,0,0
203,brzozowski,1,0,1,0,0
204,dębicki,25,2,21,2,0
205,jarosławski,2,0,2,0,0
206,jasielski,5,0,3,1,1
207,kolbuszowski,40,0,36,3,1
208,Krosno,0,0,0,0,0
209,krośnieński,2,0,1,0,1
210,leski,1,0,1,0,0
211,leżajski,27,1,22,4,0
212,lubaczowski,12,1,8,3,0
213,łańcucki,2,0,2,0,0
214,mielecki,15,1,14,0,0
215,niżański,63,4,56,3,0
216,przemyski,9,0,7,2,0
217,Przemyśl,1,0,1,0,0
218,przeworski,7,0,7,0,0
219,ropczycko-sędziszowski,6,0,6,0,0
220,rzeszowski,23,1,18,3,1
221,Rzeszów,1,0,1,0,0
222,sanocki,2,0,1,0,1
223,stalowowolski,46,3,40,3,0
224,strzyżowski,3,0,2,1,0
225,Tarnobrzeg,4,0,4,0,0
226,tarnobrzeski,50,2,45,3,0
227,PODLASKIE,194,3,179,2,10
228,augustowski,15,2,13,0,0
229,białostocki,29,0,28,0,1
230,Białystok,8,0,8,0,0
231,bielski,10,0,8,0,2
232,grajewski,2,0,1,0,1
233,hajnowski,37,1,34,0,2
234,kolneński,6,0,5,0,1
235,Łomża,1,0,1,0,0
236,łomżyński,18,0,18,0,0
237,moniecki,18,0,18,0,0
238,sejneński,4,0,3,1,0
239,siemiatycki,11,0,9,0,2
240,sokólski,11,0,9,1,1
241,suwalski,1,0,1,0,0
242,Suwałki,0,0,0,0,0
243,wysokomazowiecki,18,0,18,0,0
244,zambrowski,5,0,5,0,0
245,POMORSKIE,229,13,196,1,19
246,bytowski,16,1,13,0,2
247,chojnicki,12,0,11,0,1
248,człuchowski,8,0,8,0,0
249,Gdańsk,42,4,33,0,5
250,gdański,4,0,4,0,0
251,Gdynia,27,1,22,0,4
252,kartuski,20,3,16,0,1
253,kościerski,23,1,21,0,1
254,kwidzyński,8,0,6,1,1
255,lęborski,3,0,3,0,0
256,malborski,0,0,0,0,0
257,nowodworski,1,0,1,0,0
258,pucki,7,0,7,0,0
259,Słupsk,4,0,3,0,1
260,słupski,24,2,19,0,3
261,Sopot,4,0,4,0,0
262,starogardzki,6,0,6,0,0
263,sztumski,3,1,2,0,0
264,tczewski,5,0,5,0,0
265,wejherowski,12,0,12,0,0
266,ŚLĄSKIE,329,19,288,14,8
267,będziński,15,0,14,0,1
268,bielski,2,0,2,0,0
269,Bielsko-Biała,1,0,1,0,0
270,bieruńsko-lędziński,4,0,4,0,0
271,Bytom,5,2,3,0,0
272,Chorzów,0,0,0,0,0
273,cieszyński,8,0,7,0,1
274,Częstochowa,4,1,3,0,0
275,częstochowski,59,4,51,3,1
276,Dąbrowa Górnicza,11,1,10,0,0
277,Gliwice,7,0,6,0,1
278,gliwicki,13,0,9,3,1
279,Jastrzębie-Zdrój,1,0,1,0,0
280,Jaworzno,5,1,4,0,0
281,Katowice,5,0,5,0,0
282,kłobucki,52,0,50,1,1
283,lubliniecki,7,0,6,0,1
284,mikołowski,11,0,6,4,1
285,Mysłowice,2,0,2,0,0
286,myszkowski,38,9,28,1,0
287,Piekary Śląskie,0,0,0,0,0
288,pszczyński,3,0,3,0,0
289,raciborski,0,0,0,0,0
290,Ruda Śląska,4,1,3,0,0
291,rybnicki,7,0,6,1,0
292,Rybnik,6,0,6,0,0
293,Siemianowice Śląskie,0,0,0,0,0
294,Sosnowiec,8,0,8,0,0
295,Świętochłowice,0,0,0,0,0
296,tarnogórski,17,0,17,0,0
297,Tychy,5,0,5,0,0
298,wodzisławski,1,0,1,0,0
299,Zabrze,2,0,2,0,0
300,zawierciański,19,0,18,1,0
301,Żory,0,0,0,0,0
302,żywiecki,7,0,7,0,0
303,ŚWIĘTOKRZYSKIE,608,12,565,18,13
304,buski,25,0,19,1,5
305,jędrzejowski,27,0,26,1,0
306,kazimierski,0,0,0,0,0
307,Kielce,6,0,6,0,0
308,kielecki,124,1,113,7,3
309,konecki,179,7,169,2,1
310,opatowski,10,0,10,0,0
311,ostrowiecki,21,0,20,1,0
312,pińczowski,15,0,12,1,2
313,sandomierski,32,0,31,0,1
314,skarżyski,60,2,56,2,0
315,starachowicki,36,2,32,2,0
316,staszowski,41,0,39,1,1
317,włoszczowski,32,0,32,0,0
318,WARMIŃSKO-MAZURSKIE,102,8,83,0,11
319,bartoszycki,1,0,1,0,0
320,braniewski,0,0,0,0,0
321,działdowski,1,0,1,0,0
322,Elbląg,1,0,1,0,0
323,elbląski,2,0,2,0,0
324,ełcki,11,2,6,0,3
325,giżycki,6,2,2,0,2
326,gołdapski,0,0,0,0,0
327,iławski,10,1,7,0,2
328,kętrzyński,4,1,1,0,2
329,lidzbarski,1,0,1,0,0
330,mrągowski,3,1,2,0,0
331,nidzicki,1,0,1,0,0
332,nowomiejski,3,0,3,0,0
333,olecki,2,0,2,0,0
334,Olsztyn,13,0,11,0,2
335,olsztyński,10,0,10,0,0
336,ostródzki,10,0,10,0,0
337,piski,10,0,10,0,0
338,szczycieński,12,1,11,0,0
339,węgorzewski,1,0,1,0,0
340,WIELKOPOLSKIE,446,10,421,7,8
341,chodzieski,5,0,5,0,0
342,czarnkowsko-trzcianecki,24,0,24,0,0
343,gnieźnieński,3,0,3,0,0
344,gostyński,1,0,1,0,0
345,grodziski,11,0,11,0,0
346,jarociński,10,0,10,0,0
347,kaliski,19,0,18,0,1
348,Kalisz,2,0,2,0,0
349,kępiński,7,0,7,0,0
350,kolski,8,0,7,1,0
351,Konin,3,0,3,0,0
352,koniński,62,5,55,2,0
353,kościański,2,1,1,0,0
354,krotoszyński,13,1,12,0,0
355,leszczyński,9,0,9,0,0
356,Leszno,0,0,0,0,0
357,międzychodzki,16,1,15,0,0
358,nowotomyski,30,0,28,2,0
359,obornicki,23,0,22,1,0
360,ostrowski,23,1,20,1,1
361,ostrzeszowski,9,0,9,0,0
362,pilski,21,0,21,0,0
363,pleszewski,16,0,16,0,0
364,Poznań,10,0,4,0,6
365,poznański,27,1,26,0,0
366,rawicki,1,0,1,0,0
367,słupecki,5,0,5,0,0
368,szamotulski,28,0,28,0,0
369,średzki,6,0,6,0,0
370,śremski,7,0,7,0,0
371,turecki,16,0,16,0,0
372,wągrowiecki,5,0,5,0,0
373,wolsztyński,15,0,15,0,0
374,wrzesiński,5,0,5,0,0
375,złotowski,4,0,4,0,0
376,ZACHODNIOPOMORSKIE,291,22,245,10,14
377,białogardzki,5,0,4,1,0
378,choszczeński,3,0,3,0,0
379,drawski,47,1,44,1,1
380,goleniowski,47,3,38,3,3
381,gryficki,10,2,8,0,0
382,gryfiński,16,1,14,0,1
383,kamieński,24,2,21,0,1
384,kołobrzeski,7,2,4,1,0
385,Koszalin,2,0,2,0,0
386,koszaliński,12,0,12,0,0
387,łobeski,9,1,7,0,1
388,myśliborski,15,1,10,2,2
389,policki,17,0,14,1,2
390,pyrzycki,2,0,2,0,0
391,sławieński,3,0,3,0,0
392,stargardzki,6,0,6,0,0
393,Szczecin,12,0,11,0,1
394,szczecinecki,4,0,3,0,1
395,świdwiński,4,0,4,0,0
396,Świnoujście,38,7,29,1,1
397,wałecki,8,2,6,0,0
