LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
1,Polska,6626,256,5977,175,218
2,DOLNOŚLĄSKIE,375,24,314,9,28
3,bolesławiecki,50,4,43,1,2
4,dzierżoniowski,7,2,5,0,0
5,głogowski,7,1,4,0,2
6,górowski,7,0,6,0,1
7,jaworski,1,0,1,0,0
8,Jelenia Góra,10,0,10,0,0
9,jeleniogórski,18,2,15,0,1
10,kamiennogórski,14,2,10,0,2
11,kłodzki,30,3,25,1,1
12,Legnica,1,0,0,0,1
13,legnicki,7,0,5,2,0
14,lubański,7,1,5,1,0
15,lubiński,17,0,12,2,3
16,lwówecki,19,0,18,0,1
17,milicki,15,0,14,1,0
18,oleśnicki,14,2,11,1,0
19,oławski,11,0,10,0,1
20,polkowicki,33,0,31,0,2
21,strzeliński,0,0,0,0,0
22,średzki,1,0,1,0,0
23,świdnicki,15,2,13,0,0
24,trzebnicki,6,0,5,0,1
25,Wałbrzych,6,1,4,0,1
26,wałbrzyski,13,0,13,0,0
27,wołowski,1,0,1,0,0
28,Wrocław,9,0,6,0,3
29,wrocławski,7,0,5,0,2
30,ząbkowicki,11,0,9,0,2
31,zgorzelecki,33,4,27,0,2
32,złotoryjski,5,0,5,0,0
33,KUJAWSKO-POMORSKIE,291,2,277,5,7
34,aleksandrowski,8,0,8,0,0
35,brodnicki,1,0,0,0,1
36,bydgoski,38,0,36,1,1
37,Bydgoszcz,40,0,37,0,3
38,chełmiński,2,0,2,0,0
39,golubsko-dobrzyński,3,0,3,0,0
40,Grudziądz,0,0,0,0,0
41,grudziądzki,2,0,2,0,0
42,inowrocławski,6,0,6,0,0
43,lipnowski,45,0,44,0,1
44,mogileński,3,0,3,0,0
45,nakielski,17,0,15,1,1
46,radziejowski,1,0,1,0,0
47,rypiński,3,0,3,0,0
48,sępoleński,0,0,0,0,0
49,świecki,10,0,10,0,0
50,Toruń,19,0,19,0,0
51,toruński,23,1,21,1,0
52,tucholski,9,0,9,0,0
53,wąbrzeski,1,0,1,0,0
54,Włocławek,24,0,24,0,0
55,włocławski,34,0,32,2,0
56,żniński,2,1,1,0,0
57,LUBELSKIE,462,31,394,18,19
58,bialski,41,2,33,3,3
59,Biała Podlaska,2,0,2,0,0
60,biłgorajski,25,7,16,1,1
61,Chełm,0,0,0,0,0
62,chełmski,9,2,7,0,0
63,hrubieszowski,2,0,1,0,1
64,janowski,27,4,22,1,0
65,krasnostawski,5,0,4,1,0
66,kraśnicki,18,1,13,1,3
67,lubartowski,48,3,42,3,0
68,lubelski,10,0,8,0,2
69,Lublin,2,0,2,0,0
70,łęczyński,20,0,15,1,4
71,łukowski,44,2,39,1,2
72,opolski,41,1,38,2,0
73,parczewski,12,0,11,0,1
74,puławski,55,3,51,0,1
75,radzyński,16,3,13,0,0
76,rycki,40,2,37,1,0
77,świdnicki,21,0,20,1,0
78,tomaszowski,9,1,8,0,0
79,włodawski,12,0,10,2,0
80,zamojski,3,0,2,0,1
81,Zamość,0,0,0,0,0
82,LUBUSKIE,491,11,453,14,13
83,gorzowski,21,0,21,0,0
84,Gorzów Wielkopolski,3,0,3,0,0
85,krośnieński,55,2,52,1,0
86,międzyrzecki,22,0,21,0,1
87,nowosolski,38,2,34,0,2
88,słubicki,29,0,27,0,2
89,strzelecko-drezdenecki,45,1,40,4,0
90,sulęciński,10,0,9,0,1
91,świebodziński,14,0,12,0,2
92,wschowski,25,0,25,0,0
93,Zielona Góra,34,0,30,1,3
94,zielonogórski,54,2,49,3,0
95,żagański,55,0,54,1,0
96,żarski,86,4,76,4,2
97,ŁÓDZKIE,466,6,443,11,6
98,bełchatowski,41,3,38,0,0
99,brzeziński,6,0,6,0,0
