LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
1,Polska,7084,236,6368,222,258
2,DOLNOŚLĄSKIE,461,32,382,21,26
3,bolesławiecki,61,2,56,1,2
4,dzierżoniowski,7,0,6,0,1
5,głogowski,10,2,7,0,1
6,górowski,16,0,16,0,0
7,jaworski,4,0,3,0,1
8,Jelenia Góra,4,1,3,0,0
9,kamiennogórski,10,2,8,0,0
10,karkonoski,12,0,12,0,0
11,kłodzki,24,2,20,0,2
12,Legnica,2,0,1,1,0
13,legnicki,28,1,22,4,1
14,lubański,8,2,5,0,1
15,lubiński,28,1,25,1,1
16,lwówecki,2,0,2,0,0
17,milicki,22,0,19,2,1
18,oleśnicki,20,0,15,5,0
19,oławski,5,0,4,0,1
20,polkowicki,54,3,47,3,1
21,strzeliński,3,0,2,0,1
22,średzki,5,0,5,0,0
23,świdnicki,8,1,6,0,1
24,trzebnicki,23,1,20,1,1
25,Wałbrzych,10,1,7,0,2
26,wałbrzyski,15,6,7,1,1
27,wołowski,13,1,12,0,0
28,Wrocław,9,0,7,0,2
29,wrocławski,13,1,11,0,1
30,ząbkowicki,3,0,3,0,0
31,zgorzelecki,39,5,29,2,3
32,złotoryjski,3,0,2,0,1
33,KUJAWSKO-POMORSKIE,416,7,394,8,7
34,aleksandrowski,10,0,10,0,0
35,brodnicki,7,0,6,1,0
36,bydgoski,58,1,53,2,2
37,Bydgoszcz,78,2,74,0,2
38,chełmiński,3,1,2,0,0
39,golubsko-dobrzyński,14,0,14,0,0
40,Grudziądz,2,1,1,0,0
41,grudziądzki,10,0,10,0,0
42,inowrocławski,9,0,8,0,1
43,lipnowski,25,0,24,1,0
44,mogileński,2,0,2,0,0
45,nakielski,11,0,10,1,0
46,radziejowski,1,0,1,0,0
47,rypiński,9,0,8,0,1
48,sępoleński,7,0,7,0,0
49,świecki,23,0,21,1,1
50,Toruń,27,1,25,1,0
51,toruński,38,0,38,0,0
52,tucholski,13,0,13,0,0
53,wąbrzeski,5,0,5,0,0
54,Włocławek,19,0,19,0,0
55,włocławski,28,0,27,1,0
56,żniński,17,1,16,0,0
57,LUBELSKIE,401,18,351,16,16
58,bialski,34,0,30,2,2
59,Biała Podlaska,2,0,2,0,0
60,biłgorajski,32,5,26,1,0
61,Chełm,1,0,1,0,0
62,chełmski,13,0,10,3,0
63,hrubieszowski,2,0,2,0,0
64,janowski,12,0,10,2,0
65,krasnostawski,1,0,1,0,0
66,kraśnicki,10,0,9,1,0
67,lubartowski,31,1,26,1,3
68,lubelski,6,0,5,1,0
69,Lublin,1,0,1,0,0
70,łęczyński,13,0,10,2,1
71,łukowski,27,0,27,0,0
72,opolski,20,1,19,0,0
73,parczewski,22,0,18,2,2
74,puławski,70,2,64,0,4
75,radzyński,12,0,10,1,1
76,rycki,51,5,43,0,3
77,świdnicki,7,0,7,0,0
78,tomaszowski,18,4,14,0,0
79,włodawski,5,0,5,0,0
80,zamojski,11,0,11,0,0
81,Zamość,0,0,0,0,0
82,LUBUSKIE,619,16,569,17,17
83,gorzowski,23,0,22,1,0
84,Gorzów Wielkopolski,5,0,3,0,2
85,krośnieński,49,3,45,0,1
86,międzyrzecki,22,0,20,1,1
87,nowosolski,51,0,49,0,2
88,słubicki,34,0,31,2,1
89,strzelecko-drezdenecki,36,0,36,0,0
90,sulęciński,40,1,37,1,1
91,świebodziński,47,0,40,2,5
92,wschowski,10,0,9,0,1
93,Zielona Góra,68,4,64,0,0
94,zielonogórski,92,4,85,3,0
95,żagański,43,0,41,2,0
96,żarski,99,4,87,5,3
97,ŁÓDZKIE,535,11,500,14,10
98,bełchatowski,44,0,44,0,0
99,brzeziński,8,0,7,1,0
100,kutnowski,7,0,7,0,0
101,łaski,17,0,17,0,0
102,łęczycki,3,0,3,0,0
103,łowicki,44,0,44,0,0
104,łódzki wschodni,21,0,21,0,0
105,Łódź,14,3,10,0,1
106,opoczyński,57,0,53,4,0
107,pabianicki,17,0,16,1,0
108,pajęczański,13,0,11,1,1
109,piotrkowski,38,0,36,2,0
110,Piotrków Trybunalski,0,0,0,0,0
111,poddębicki,29,1,25,2,1
112,radomszczański,48,0,43,1,4
113,rawski,3,1,2,0,0
114,sieradzki,50,1,47,1,1
115,Skierniewice,2,0,2,0,0
116,skierniewicki,7,0,6,1,0
117,tomaszowski,43,0,42,0,1
118,wieluński,16,0,16,0,0
119,wieruszowski,14,0,14,0,0
120,zduńskowolski,16,2,14,0,0
121,zgierski,24,3,20,0,1
122,MAŁOPOLSKIE,199,6,170,6,17
123,bocheński,3,0,3,0,0
124,brzeski,2,0,2,0,0
125,chrzanowski,30,0,26,2,2
126,dąbrowski,21,1,18,1,1
127,gorlicki,0,0,0,0,0
